gene	ncbi_gene_id	protein_id	uniprot_id	ncbi_description	annotation	pfam
MYCTH_2296260	ncbi-geneid:11509178	XP_003659351	up:G2Q108	hypothetical protein	Bromodomain associated	Bromo_TP
MYCTH_2296262	ncbi-geneid:11508606	XP_003659352	up:G2Q109	hypothetical protein	TAFII55 protein conserved region	TAFII55_N
MYCTH_2296263	ncbi-geneid:11508073	XP_003659353	up:G2Q110	hypothetical protein	Mitochondrial ribosomal protein L37	Ribosomal_L37
MYCTH_2296265	ncbi-geneid:11513073	XP_003659354	up:G2Q111	hypothetical protein	NADH-ubiquinone oxidoreductase 12 kDa subunit	NDUFB10
MYCTH_2296269	ncbi-geneid:11508776	XP_003659355	up:G2Q112	hypothetical protein	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)(NSR1)	RRM_1
MYCTH_2296271	ncbi-geneid:11513177	XP_003659356	up:G2Q113	hypothetical protein	-	-
MYCTH_2296277	ncbi-geneid:11505783	XP_003659359	up:G2Q116	hypothetical protein	-	-
MYCTH_2296279	ncbi-geneid:11505500	XP_003659360	up:G2Q117	hypothetical protein	-	-
MYCTH_2296287	ncbi-geneid:11508994	XP_003659363	up:G2Q120	hypothetical protein	HpcH/HpaI aldolase/citrate lyase family	HpcH_HpaI
MYCTH_2296291	ncbi-geneid:11513049	XP_003659364	up:G2Q121	hypothetical protein	snRNP Sm proteins	LSM
MYCTH_2296293	ncbi-geneid:11509193	XP_003659365	up:G2Q1D0	hypothetical protein	Inosine-uridine preferring nucleoside hydrolase	IU_nuc_hydro
MYCTH_2296296	ncbi-geneid:11506039	XP_003659367	up:G2Q1D2	hypothetical protein	-	-
MYCTH_2296297	ncbi-geneid:11506067	XP_003659368	up:G2Q1D3	hypothetical protein	-	-
MYCTH_2296298	ncbi-geneid:11513260	XP_003659369	up:G2Q1D4	hypothetical protein	Rhomboid family	Rhomboid
MYCTH_2296300	ncbi-geneid:11508774	XP_003659370	up:G2Q1D5	hypothetical protein	-	-
MYCTH_2296305	ncbi-geneid:11505675	XP_003659372	up:G2Q1D7	hypothetical protein	Belongs to the aldehyde dehydrogenase family(PUT2)	Aldedh
MYCTH_2296309	ncbi-geneid:11508087	XP_003659373	up:G2Q1D8	hypothetical protein	-	-
MYCTH_2296319	ncbi-geneid:11508047	XP_003659376	up:G2Q1E1	hypothetical protein	Belongs to the RNR ribonuclease family(DIS3)	PIN_4,RNB,Rrp44_CSD1,Rrp44_S1
MYCTH_2296320	ncbi-geneid:11513035	XP_003659377	up:G2Q1E2	hypothetical protein	GNL3L/Grn1 putative GTPase(NUG1)	GN3L_Grn1,MMR_HSR1
MYCTH_2296323	ncbi-geneid:11513117	XP_003659378	up:G2Q1E3	hypothetical protein	Haloacid dehalogenase-like hydrolase(GPP1)	HAD_2
MYCTH_2296328	ncbi-geneid:11506089	XP_003659379	up:G2Q1E4	hypothetical protein	Homeodomain	Homeobox
MYCTH_2296333	ncbi-geneid:11513347	XP_003659380	up:G2Q1E5	hypothetical protein	Protein tyrosine kinase(SSK2)	Pkinase
MYCTH_2296336	ncbi-geneid:11508316	XP_003659382	up:G2Q1E7	hypothetical protein	TRAPP trafficking subunit Trs65	Trs65
MYCTH_2296345	ncbi-geneid:11505665	XP_003659384	up:G2Q1E9	hypothetical protein	ABC transporter(RLI1)	ABC_tran,Fer4,RLI
MYCTH_2296350	ncbi-geneid:11508278	XP_003659385	up:G2Q1F0	CDH1-like protein	DUF4208(hrp3)	Chromo,DUF4208,Helicase_C,SNF2_N
MYCTH_2296357	ncbi-geneid:11508165	XP_003659387	up:G2Q1F2	hypothetical protein	Mediator complex subunit 16(sin4)	Med16
MYCTH_2296360	ncbi-geneid:11508840	XP_003659388	up:G2Q1F3	hypothetical protein	Protein of unknown function (DUF3500)	DUF3500
MYCTH_2296361	ncbi-geneid:11513038	XP_003659389	up:G2Q1F4	hypothetical protein	-	ABM
MYCTH_2296362	ncbi-geneid:11508081	XP_003659390	up:G2Q1F5	hypothetical protein	-	-
MYCTH_2296363	ncbi-geneid:11505487	XP_003659392	up:G2Q1F7	hypothetical protein	-	-
MYCTH_2296368	ncbi-geneid:11505653	XP_003659394	up:G2Q1F9	glycosyltransferase family 34 protein	galactosyl transferase GMA12/MNN10 family(MNN10)	Glyco_transf_34
MYCTH_2296370	ncbi-geneid:11505525	XP_003659396	up:G2Q1G1	hypothetical protein	Proteasome subunit beta type(PRE2)	Proteasome
MYCTH_2296372	ncbi-geneid:11505490	XP_003659397	up:G2Q1G2	hypothetical protein	Fungal protein of unknown function (DUF1752)(REG1)	DUF1752
MYCTH_2296376	ncbi-geneid:11505708	XP_003659398	up:G2Q1G3	hypothetical protein	Specifically methylates the N1 position of guanosine-37 in various cytoplasmic and mitochondrial tRNAs. Methylation is not dependent on the nature of the nucleoside 5' of the target nucleoside. This is the first step in the biosynthesis of wybutosine (yW), a modified base adjacent to the anticodon of tRNAs and required for accurate decoding(TRM5)	Met_10
MYCTH_2296378	ncbi-geneid:11513305	XP_003659399	up:G2Q1G4	hypothetical protein	to Saccharomyces cerevisiae NUS1 (YDL193W)	Prenyltransf
MYCTH_2296379	ncbi-geneid:11513003	XP_003659400	up:G2Q1G5	hypothetical protein	Exocyst complex component Sec10(SEC10)	Sec10
MYCTH_2296381	ncbi-geneid:11511594	XP_003659401	up:G2Q1G6	hypothetical protein	RNB(MSU1)	RNB
MYCTH_2296382	ncbi-geneid:11513183	XP_003659402	up:G2Q1G7	glycoside hydrolase family 17 protein	Glycoside hydrolase family 17 protein(btgE)	-
MYCTH_2296384	ncbi-geneid:11513109	XP_003659403	up:G2Q1G8	hypothetical protein	WD40 repeats	WD40
MYCTH_2296388	ncbi-geneid:11508781	XP_003659404	up:G2Q1G9	glycosyltransferase family 2 protein	Chitin synthase(CHS3)	Chitin_synth_2
MYCTH_2296392	ncbi-geneid:11505688	XP_003659405	up:G2Q1H0	hypothetical protein	-	-
MYCTH_2296393	ncbi-geneid:11512814	XP_003659406	up:G2Q1H1	hypothetical protein	Sel1-like repeats.(CHS4)	Sel1
MYCTH_2296395	ncbi-geneid:11509081	XP_003659407	up:G2Q1H2	hypothetical protein	MFS/sugar transport protein	MFS_2
MYCTH_2296399	ncbi-geneid:11508629	XP_003659408	up:G2Q1H3	hypothetical protein	ATP phosphoribosyltransferase(HIS1)	HisG,HisG_C
MYCTH_2296403	ncbi-geneid:11508818	XP_003659409	up:G2Q1H4	hypothetical protein	HeH/LEM domain(SRC1)	HeH,MSC
MYCTH_2296408	ncbi-geneid:11508545	XP_003659410	up:G2Q1H5	hypothetical protein	helix loop helix domain	HLH
MYCTH_2296409	ncbi-geneid:11508682	XP_003659411	up:G2Q1H6	hypothetical protein	pre-mrna splicing factor clf1	-
MYCTH_2296410	ncbi-geneid:11513322	XP_003659412	up:G2Q1H7	hypothetical protein	C-terminal domain of vertebrate Tap protein(MEX67)	LRR_9,NTF2,TAP_C
MYCTH_2296412	ncbi-geneid:11505510	XP_003659413	up:G2Q1H8	hypothetical protein	helicase superfamily c-terminal domain(MPH1)	Helicase_C,ResIII
MYCTH_2296424	ncbi-geneid:11505949	XP_003659416	up:G2Q1I1	glycosyltransferase family 39 protein	MIR domain(PMT4)	MIR,PMT,PMT_4TMC
MYCTH_2296428	ncbi-geneid:11508556	XP_003659417	up:G2Q1I2	hypothetical protein	Endoribonuclease L-PSP	Ribonuc_L-PSP
MYCTH_2296430	ncbi-geneid:11512954	XP_003659418	up:G2Q1I3	hypothetical protein	-	-
MYCTH_2296432	ncbi-geneid:11513220	XP_003659419	up:G2Q1U2	hypothetical protein	Acetyltransferase (GNAT) domain	Acetyltransf_1
MYCTH_2296433	ncbi-geneid:11509044	XP_003659420	up:G2Q1U3	hypothetical protein	Cytochrome P450	p450
MYCTH_2296436	ncbi-geneid:11508954	XP_003659421	up:G2Q1U4	hypothetical protein	SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains	Myb_DNA-bind_6
MYCTH_2296438	ncbi-geneid:11508841	XP_003659422	up:G2Q1U5	hypothetical protein	-	-
MYCTH_2296446	ncbi-geneid:11509053	XP_003659425	up:G2Q1U8	hypothetical protein	domain-containing protein 4	HhH-GPD
MYCTH_2296450	ncbi-geneid:11508742	XP_003659426	up:G2Q1U9	hypothetical protein	Cytochrome C1 family(CYT1)	Cytochrom_C1
MYCTH_2296456	ncbi-geneid:11509208	XP_003659428	up:G2Q1V1	hypothetical protein	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD(cyp15)	Pro_isomerase,WD40
MYCTH_2296460	ncbi-geneid:11512944	XP_003659430	up:G2Q1V3	hypothetical protein	Nuclear pore protein 84 / 107(NUP84)	Nup84_Nup100
MYCTH_2296462	ncbi-geneid:11512839	XP_003659431	up:G2Q1V4	hypothetical protein	Mature-T-Cell Proliferation I type(CMC4)	MTCP1
MYCTH_2296465	ncbi-geneid:11505422	XP_003659432	up:G2Q1V5	hypothetical protein	Ubiquitin homologues(SMT3)	Rad60-SLD
MYCTH_2296469	ncbi-geneid:11513180	XP_003659433	up:G2Q1V6	hypothetical protein	Zinc-binding domain present in Lin-11, Isl-1, Mec-3.	LIM
MYCTH_2296472	ncbi-geneid:11508337	XP_003659434	up:G2Q1V7	hypothetical protein	Major Facilitator Superfamily	MFS_1
MYCTH_2296474	ncbi-geneid:11508536	XP_003659435	up:G2Q1V8	hypothetical protein	CoA-ligase	Ligase_CoA
MYCTH_2296478	ncbi-geneid:11505626	XP_003659436	up:G2Q1V9	hypothetical protein	Cytochrome c oxidase assembly protein COX19(COX19)	CHCH
MYCTH_2296480	ncbi-geneid:11508834	XP_003659437	up:G2Q1W0	hypothetical protein	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family(DNM1)	Dynamin_M,Dynamin_N,GED
MYCTH_2296486	ncbi-geneid:11511689	XP_003659439	up:G2Q1W2	hypothetical protein	-	-
MYCTH_2296492	ncbi-geneid:11513023	XP_003659441	up:G2Q1W4	hypothetical protein	Fungal specific transcription factor domain	Fungal_trans,Zn_clus
MYCTH_2296499	ncbi-geneid:11512941	XP_003659444	up:G2Q1W7	hypothetical protein	Cofilin/tropomyosin-type actin-binding protein(ABP1)	Cofilin_ADF,SH3_1,SH3_9
MYCTH_2296502	ncbi-geneid:11505438	XP_003659445	up:G2Q1W8	hypothetical protein	Modifier of rudimentary (Mod(r)) protein	Mod_r
MYCTH_2296504	ncbi-geneid:11513056	XP_003659446	up:G2Q1W9	hypothetical protein	-	-
MYCTH_2296508	ncbi-geneid:11508890	XP_003659447	up:G2Q1X0	hypothetical protein	A Receptor for Ubiquitination Targets	F-box,F-box-like
MYCTH_2296513	ncbi-geneid:11505476	XP_003659449	up:G2Q1X2	hypothetical protein	Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells(VMA5)	V-ATPase_C
MYCTH_2296525	ncbi-geneid:11508158	XP_003659453	up:G2Q1X6	hypothetical protein	Anticodon binding domain(PRS)	HGTP_anticodon,tRNA-synt_2b
MYCTH_2296527	ncbi-geneid:11508786	XP_003659458	up:G2Q1Y1	hypothetical protein	Belongs to the peptidase C19 family	UCH
MYCTH_2296529	ncbi-geneid:11508612	XP_003659459	up:G2Q1Y2	hypothetical protein	Belongs to the OSBP family(kes1)	Oxysterol_BP
MYCTH_2296531	ncbi-geneid:11512923	XP_003659460	up:G2Q1Y3	hypothetical protein	Oxidoreductase family, C-terminal alpha/beta domain	GFO_IDH_MocA,GFO_IDH_MocA_C
MYCTH_2296536	ncbi-geneid:11513268	XP_003659462	up:G2Q1Y5	hypothetical protein	Belongs to the phosphohexose mutase family(PGM2)	PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV
MYCTH_2296547	ncbi-geneid:11508012	XP_003659464	up:G2Q1Y7	hypothetical protein	high mobility group(NHP6)	HMG_box
MYCTH_2296558	ncbi-geneid:11505993	XP_003659466	up:G2Q1Y9	hypothetical protein	Autophagy-related protein 11(ATG11)	APG17,ATG11
MYCTH_2296565	ncbi-geneid:11508587	XP_003659468	up:G2Q1Z1	hypothetical protein	-	-
MYCTH_2296570	ncbi-geneid:11511659	XP_003659472	up:G2Q1Z5	hypothetical protein	YT521-B-like domain	RRM_1,YTH
MYCTH_2296573	ncbi-geneid:11505931	XP_003659474	up:G2Q2A4	hypothetical protein	Proteasome subunit(PRE7)	Proteasome
MYCTH_2296575	ncbi-geneid:11508371	XP_003659475	up:G2Q2A5	hypothetical protein	Belongs to the PI3 PI4-kinase family(STT4)	PI3Ka,PI3_PI4_kinase
MYCTH_2296578	ncbi-geneid:11505982	XP_003659476	up:G2Q2A6	hypothetical protein	Cation efflux family	Cation_efflux,ZT_dimer
MYCTH_2296585	ncbi-geneid:11505455	XP_003659478	up:G2Q2A8	hypothetical protein	DNA mismatch repair protein, C-terminal domain	DNA_mis_repair,HATPase_c,HATPase_c_3
MYCTH_2296586	ncbi-geneid:11507973	XP_003659479	up:G2Q2A9	hypothetical protein	ML-like domain	TRP,TRP_N
MYCTH_2296588	ncbi-geneid:11507979	XP_003659480	up:G2Q2B0	hypothetical protein	-	-
MYCTH_2296591	ncbi-geneid:11512988	XP_003659481	up:G2Q2B1	hypothetical protein	-	-
MYCTH_2296595	ncbi-geneid:11507991	XP_003659482	up:G2Q2B2	hypothetical protein	Belongs to the phosphatase 2A regulatory subunit B family(CDC55)	WD40
MYCTH_2296599	ncbi-geneid:11508235	XP_003659485	up:G2Q2B5	hypothetical protein	CPL (NUC119) domain(puf6)	CPL
MYCTH_2296601	ncbi-geneid:11513063	XP_003659486	up:G2Q2B6	hypothetical protein	RWD(GIR2)	DFRP_C,RWD
MYCTH_2296602	ncbi-geneid:11506045	XP_003659487	up:G2Q2B7	hypothetical protein	Tpr domain-containing protein	TPR_12,TPR_16,TPR_8
MYCTH_2296610	ncbi-geneid:11508435	XP_003659492	up:G2Q2C2	hypothetical protein	PHD zinc finger	PHD
MYCTH_2296615	ncbi-geneid:11509083	XP_003659494	up:G2Q2C4	hypothetical protein	Ion transport protein(CCH1)	Ion_trans
MYCTH_2296617	ncbi-geneid:11508825	XP_003659496	up:G2Q2C6	hypothetical protein	-	-
MYCTH_2296618	ncbi-geneid:11512943	XP_003659497	up:G2Q2C7	hypothetical protein	Belongs to the cyclin family(CLB2)	Cyclin_C,Cyclin_N
MYCTH_2296621	ncbi-geneid:11513291	XP_003659498	up:G2Q2C8	hypothetical protein	Ribosomal Proteins L2, C-terminal domain(RML2)	Ribosomal_L2,Ribosomal_L2_C
MYCTH_2296626	ncbi-geneid:11513407	XP_003659500	up:G2Q2D0	hypothetical protein	Plays a complex role in regulating the basal catalytic activity of the alpha subunit(CKB2)	CK_II_beta
MYCTH_2296628	ncbi-geneid:11505618	XP_003659501	up:G2Q2D1	hypothetical protein	RIC1(RIC1)	RIC1
MYCTH_2296636	ncbi-geneid:11508403	XP_003659503	up:G2Q2D3	hypothetical protein	Fungal specific transcription factor domain	Fungal_trans,Zn_clus
MYCTH_2296643	ncbi-geneid:11508720	XP_003659504	up:G2Q2D4	hypothetical protein	Sugar (and other) transporter	Sugar_tr
MYCTH_2296645	ncbi-geneid:11508735	XP_003659505	up:G2Q2D5	hypothetical protein	-	-
MYCTH_2296654	ncbi-geneid:11511668	XP_003659510	up:G2Q2E0	hypothetical protein	Prp31 C terminal domain(PRP31)	Nop,Prp31_C
MYCTH_2296655	ncbi-geneid:11509214	XP_003659511	up:G2Q2E1	hypothetical protein	HAT (Half-A-TPR) repeat(CLF1)	HAT,Suf,TPR_14,TPR_17,TPR_19
MYCTH_2296656	ncbi-geneid:11505628	XP_003659512	up:G2Q2E2	hypothetical protein	-	-
MYCTH_2296662	ncbi-geneid:11505632	XP_003659513	up:G2Q2E3	hypothetical protein	helix loop helix domain	HLH
MYCTH_2296663	ncbi-geneid:11505437	XP_003659514	up:G2Q2E4	hypothetical protein	La domain	La
MYCTH_2296673	ncbi-geneid:11508398	XP_003659517	up:G2Q2E7	hypothetical protein	Nitrogen Permease regulator of amino acid transport activity 3(npr3)	NPR3
MYCTH_2296676	ncbi-geneid:11508982	XP_003659518	up:G2Q2E8	hypothetical protein	Choline/ethanolamine kinase	Choline_kinase
MYCTH_2296679	ncbi-geneid:11513257	XP_003659520	up:G2Q2F0	hypothetical protein	Nucleoporin Nup120/160(PWP1)	WD40
MYCTH_2296681	ncbi-geneid:11505971	XP_003659522	up:G2Q2F2	hypothetical protein	Hepatocellular carcinoma-associated antigen 59	Hep_59
MYCTH_2296685	ncbi-geneid:11508486	XP_003659523	up:G2Q2F3	hypothetical protein	-	-
MYCTH_2296687	ncbi-geneid:11505803	XP_003659525	up:G2Q2F5	hypothetical protein	Golgi membrane protein involved in vesicular trafficking(TVP23)	DUF846
MYCTH_2296691	ncbi-geneid:11509067	XP_003659526	up:G2Q2F6	hypothetical protein	HpcH/HpaI aldolase/citrate lyase family	HpcH_HpaI
MYCTH_2296694	ncbi-geneid:11512826	XP_003659527	up:G2Q2R5	hypothetical protein	RNA recognition motif	RRM_1
MYCTH_2296698	ncbi-geneid:11513321	XP_003659529	up:G2Q2R7	hypothetical protein	EF-hand domain	EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7,EF-hand_8
MYCTH_2296700	ncbi-geneid:11513381	XP_003659530	up:G2Q2R8	hypothetical protein	Transcription factor RfeD	-
MYCTH_2296708	ncbi-geneid:11505639	XP_003659532	up:G2Q2S0	hypothetical protein	-	-
MYCTH_2296711	ncbi-geneid:11505825	XP_003659534	up:G2Q2S2	hypothetical protein	Nucleoporin Nup120/160	Nup160
MYCTH_2296713	ncbi-geneid:11505999	XP_003659535	up:G2Q2S3	hypothetical protein	Vacuolar protein sorting-associated protein 26(vps26)	Vps26
MYCTH_2296721	ncbi-geneid:11506059	XP_003659537	up:G2Q2S5	hypothetical protein	-	-
MYCTH_2296723	ncbi-geneid:11508054	XP_003659538	up:G2Q2S6	hypothetical protein	V-ATPase subunit H(VMA13)	V-ATPase_H_C,V-ATPase_H_N
MYCTH_2296724	ncbi-geneid:11508082	XP_003659539	up:G2Q2S7	hypothetical protein	Belongs to the acylphosphatase family	Acylphosphatase
MYCTH_2296728	ncbi-geneid:11508428	XP_003659540	up:G2Q2S8	hypothetical protein	Protein of unknown function (DUF726)	DUF726
MYCTH_2296730	ncbi-geneid:11508544	XP_003659541	up:G2Q2S9	hypothetical protein	Fcf1	Fcf1
MYCTH_2296734	ncbi-geneid:11508588	XP_003659542	up:G2Q2T0	hypothetical protein	Contains conserved domain PP2C_SIG smart00331 , Sigma factor PP2C-like phosphatases	PP2C_2,SpoIIE
MYCTH_2296735	ncbi-geneid:11508548	XP_003659543	up:G2Q2T1	hypothetical protein	PH domain-containing protein	PH
MYCTH_2296741	ncbi-geneid:11508743	XP_003659544	up:G2Q2T2	hypothetical protein	Forkhead associated domain(RAD53)	FHA,Pkinase
MYCTH_2296757	ncbi-geneid:11513308	XP_003659551	up:G2Q2T9	hypothetical protein	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex	2-oxoacid_dh,Biotin_lipoyl,E3_binding
MYCTH_2296763	ncbi-geneid:11505531	XP_003659555	up:G2Q2U3	hypothetical protein	C2H2-type zinc finger(SUR1)	zf-C2H2
MYCTH_2296764	ncbi-geneid:11506066	XP_003659556	up:G2Q2U4	hypothetical protein	-	-
MYCTH_2296766	ncbi-geneid:11508274	XP_003659557	up:G2Q2U5	hypothetical protein	helicase superfamily c-terminal domain(PRP5)	DEAD,Helicase_C
MYCTH_2296769	ncbi-geneid:11505956	XP_003659558	up:G2Q2U6	hypothetical protein	high mobility group	HMG_box,HMG_box_2
MYCTH_2296770	ncbi-geneid:11508331	XP_003659559	up:G2Q2U7	hypothetical protein	-	-
MYCTH_2296774	ncbi-geneid:11511610	XP_003659561	up:G2Q2U9	hypothetical protein	GTPase-activator protein for Rho-like GTPases(rga1)	LIM,RhoGAP
MYCTH_2296776	ncbi-geneid:11512939	XP_003659562	up:G2Q2V0	hypothetical protein	Region of unknown function (DUF2417)	Abhydrolase_1,Abhydrolase_6,DUF2417
MYCTH_2296778	ncbi-geneid:11505417	XP_003659563	up:G2Q2V1	hypothetical protein	-	-
MYCTH_2296781	ncbi-geneid:11508643	XP_003659564	up:G2Q2V2	hypothetical protein	Belongs to the ubiquitin-conjugating enzyme family	UQ_con
MYCTH_2296782	ncbi-geneid:11505638	XP_003659565	up:G2Q2V3	hypothetical protein	Replication factor C C-terminal domain(RFC2)	AAA,Rep_fac_C
MYCTH_2296783	ncbi-geneid:11508780	XP_003659566	up:G2Q2V4	hypothetical protein	-	-
MYCTH_2296784	ncbi-geneid:11505678	XP_003659567	up:G2Q2V5	hypothetical protein	HELICc3(brr2)	DEAD,Helicase_C,Sec63
MYCTH_2296788	ncbi-geneid:11508753	XP_003659568	up:G2Q2V6	hypothetical protein	PWWP domain	Med26,PWWP
MYCTH_2296792	ncbi-geneid:11508618	XP_003659569	up:G2Q2V7	hypothetical protein	Origin recognition complex (ORC) subunit 3 N-terminus(ORC3)	ORC3_N
MYCTH_2296798	ncbi-geneid:11508808	XP_003659572	up:G2Q2W0	hypothetical protein	NPL4 family, putative zinc binding region(NPL4)	NPL4,UN_NPL4,zf-NPL4
MYCTH_2296800	ncbi-geneid:11509104	XP_003659573	up:G2Q2W1	hypothetical protein	Carbamoyl-phosphate synthetase large chain, oligomerisation domain(CPA2)	CPSase_L_D2,CPSase_L_D3
MYCTH_2296802	ncbi-geneid:11509127	XP_003659574	up:G2Q2W2	hypothetical protein	Fungal domain of unknown function (DUF1746)	DUF1746
MYCTH_2296804	ncbi-geneid:11512834	XP_003659576	up:G2Q2W4	hypothetical protein	Pentatricopeptide repeat	PPR,PPR_2
MYCTH_2296805	ncbi-geneid:11513095	XP_003659577	up:G2Q2W5	hypothetical protein	DUF4187	DUF4187,G-patch
MYCTH_2296807	ncbi-geneid:11513299	XP_003659580	up:G2Q2W8	hypothetical protein	Zinc-finger of C2H2 type	zf-C2H2
MYCTH_2296812	ncbi-geneid:11505876	XP_003659584	up:G2Q378	hypothetical protein	Diphthamide synthase	Diphthami_syn_2,Ribonuc_L-PSP
MYCTH_2296814	ncbi-geneid:11506084	XP_003659585	up:G2Q379	hypothetical protein	Belongs to the type-B carboxylesterase lipase family	COesterase
MYCTH_2296820	ncbi-geneid:11508384	XP_003659587	up:G2Q381	hypothetical protein	zinc finger	zf-C2H2,zf-C2H2_6
MYCTH_2296824	ncbi-geneid:11508222	XP_003659589	up:G2Q383	hypothetical protein	Functions as a sorting receptor in the Golgi compartment required for the intracellular sorting and delivery of soluble vacuolar proteins, like carboxypeptidase Y (CPY) and proteinase A(VPS10)	Sortilin-Vps10,Sortilin_C
MYCTH_2296837	ncbi-geneid:11508662	XP_003659595	up:G2Q389	hypothetical protein	Nuclear pore assembly and biogenesis	Apq12
MYCTH_2296840	ncbi-geneid:11508070	XP_003659596	up:G2Q390	hypothetical protein	Conserved hypothetical ATP binding protein	ATP_bind_1
MYCTH_2296844	ncbi-geneid:11505541	XP_003659598	up:G2Q392	hypothetical protein	-	-
MYCTH_2296847	ncbi-geneid:11513316	XP_003659599	up:G2Q393	hypothetical protein	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain(mtd1)	THF_DHG_CYH,THF_DHG_CYH_C
MYCTH_2296852	ncbi-geneid:11508610	XP_003659600	up:G2Q394	hypothetical protein	Dos2-interacting transcription regulator of RNA-Pol-II	MMS19_C,MMS19_N
MYCTH_2296854	ncbi-geneid:11513318	XP_003659601	up:G2Q395	hypothetical protein	Microsomal signal peptidase 25 kDa subunit (SPC25)	SPC25
MYCTH_2296859	ncbi-geneid:11508195	XP_003659603	up:G2Q397	hypothetical protein	Nuclear fragile X mental retardation-interacting protein 1 (NUFIP1)	NUFIP1,zf-CCCH
MYCTH_2296861	ncbi-geneid:11508441	XP_003659604	up:G2Q398	hypothetical protein	Nucleotide exchange factor sil1	SIL1
MYCTH_2296866	ncbi-geneid:11508620	XP_003659606	up:G2Q3A0	hypothetical protein	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain	SET
MYCTH_2296873	ncbi-geneid:11509095	XP_003659610	up:G2Q3A4	hypothetical protein	Glutaredoxin	Glutaredoxin
MYCTH_2296875	ncbi-geneid:11512912	XP_003659612	up:G2Q3A6	hypothetical protein	Ribosomal prokaryotic L21 protein	Ribosomal_L21p
MYCTH_2296876	ncbi-geneid:11512919	XP_003659613	up:G2Q3A7	hypothetical protein	Protein tyrosine kinase	Pkinase
MYCTH_2296883	ncbi-geneid:11513097	XP_003659615	up:G2Q3A9	hypothetical protein	SPT2 chromatin protein	SPT2
MYCTH_2296887	ncbi-geneid:11513387	XP_003659617	up:G2Q3B1	hypothetical protein	IBR domain, a half RING-finger domain	IBR
MYCTH_2296889	ncbi-geneid:11505530	XP_003659618	up:G2Q3B2	hypothetical protein	Tim17/Tim22/Tim23/Pmp24 family	Tim17
MYCTH_2296892	ncbi-geneid:11505613	XP_003659620	up:G2Q3B4	hypothetical protein	FAD binding domain	FAD_binding_3
MYCTH_2296894	ncbi-geneid:11505702	XP_003659621	up:G2Q3B5	hypothetical protein	Pyridine nucleotide-disulphide oxidoreductase	NAD_binding_9,Pyr_redox_2
MYCTH_2296904	ncbi-geneid:11508542	XP_003659625	up:G2Q3B9	hypothetical protein	-	-
MYCTH_2296905	ncbi-geneid:11508686	XP_003659627	up:G2Q3C1	hypothetical protein	helix loop helix domain	HLH
MYCTH_2296912	ncbi-geneid:11512853	XP_003659629	up:G2Q3C3	hypothetical protein	Pfam:RRM_6	RRM_1
MYCTH_2296914	ncbi-geneid:11511570	XP_003659630	up:G2Q3C4	hypothetical protein	Tetratricopeptide repeat(PEX5)	TPR_1,TPR_16,TPR_2,TPR_8
MYCTH_2296915	ncbi-geneid:11511578	XP_003659631	up:G2Q3C5	hypothetical protein	EXOIII	RNase_T
MYCTH_2296918	ncbi-geneid:11509108	XP_003659634	up:G2Q3N6	hypothetical protein	Prefoldin subunit(GIM5)	Prefoldin
MYCTH_2296919	ncbi-geneid:11512973	XP_003659636	up:G2Q3N8	hypothetical protein	BAH domain(ORC1)	AAA,BAH
MYCTH_2296924	ncbi-geneid:11508264	XP_003659637	up:G2Q3N9	hypothetical protein	Ankyrin repeat(NAS6)	Ank_2,Ank_3,Ank_4,Ank_5
MYCTH_2296933	ncbi-geneid:11513057	XP_003659640	up:G2Q3P2	hypothetical protein	axonemal central apparatus assembly	-
MYCTH_2296934	ncbi-geneid:11508209	XP_003659641	up:G2Q3P3	hypothetical protein	Mitochondrial carrier required for the biosynthesis of heme, possibly by facilitating 5-aminolevulinate (ALA) production. May act by importing glycine into mitochondria or by exchanging glycine for ALA across the mitochondrial inner membrane	Mito_carr
MYCTH_2296935	ncbi-geneid:11513293	XP_003659642	up:G2Q3P4	hypothetical protein	Dor1-like family	Dor1
MYCTH_2296936	ncbi-geneid:11511606	XP_003659643	up:G2Q3P5	hypothetical protein	-	-
MYCTH_2296937	ncbi-geneid:11508123	XP_003659644	up:G2Q3P6	hypothetical protein	-	-
MYCTH_2296938	ncbi-geneid:11505883	XP_003659645	up:G2Q3P7	hypothetical protein	-	-
MYCTH_2296939	ncbi-geneid:11505765	XP_003659646	up:G2Q3P8	hypothetical protein	TRAM, LAG1 and CLN8 homology domains.	TRAM_LAG1_CLN8
MYCTH_2296944	ncbi-geneid:11508124	XP_003659648	up:G2Q3Q0	hypothetical protein	Adenosine/AMP deaminase(AMD1)	A_deaminase
